service_id,date,exception_type
0000000092022091220230623,20230330,2
0000000092022091220230623,20230331,2
0000000092022091220230623,20230401,2
0000000092022091220230623,20230403,2
0000000092022091220230623,20230404,2
0000000092022091220230623,20230405,2
0000000092022091220230623,20230406,1
0000000092022091220230623,20230407,1
0000000092022091220230623,20230408,1
0000000092022091220230623,20230410,2
0000000092022091220230623,20230411,1
0000000092022091220230623,20230412,2
0000000092022091220230623,20230413,2
0000000092022091220230623,20230414,2
0000000092022091220230623,20230415,2
0000000092022091220230623,20230417,2
0000000092022091220230623,20230418,2
0000000092022091220230623,20230419,2
0000000092022091220230623,20230420,2
0000000092022091220230623,20230421,2
0000000092022091220230623,20230422,2
0000000092022091220230623,20230424,2
0000000092022091220230623,20230425,2
0000000092022091220230623,20230426,2
0000000092022091220230623,20230427,2
0000000092022091220230623,20230428,2
0000000092022091220230623,20230429,2
0000000092022091220230623,20230501,2
0000000092022091220230623,20230502,2
0000000092022091220230623,20230503,2
0000000092022091220230623,20230504,2
0000000092022091220230623,20230505,2
0000000092022091220230623,20230506,2
0000000092022091220230623,20230508,2
0000000092022091220230623,20230509,2
0000000092022091220230623,20230510,2
0000000092022091220230623,20230511,2
0000000092022091220230623,20230512,2
0000000092022091220230623,20230513,2
0000000092022091220230623,20230515,2
0000000092022091220230623,20230516,2
0000000092022091220230623,20230517,2
0000000092022091220230623,20230518,2
0000000092022091220230623,20230519,2
0000000092022091220230623,20230520,2
0000000092022091220230623,20230522,2
0000000092022091220230623,20230523,2
0000000092022091220230623,20230524,2
0000000092022091220230623,20230525,2
0000000092022091220230623,20230526,2
0000000092022091220230623,20230527,2
0000000092022091220230623,20230529,2
0000000092022091220230623,20230530,2
0000000092022091220230623,20230531,2
0000000092022091220230623,20230601,2
0000000092022091220230623,20230602,2
0000000092022091220230623,20230603,2
0000000092022091220230623,20230605,2
0000000092022091220230623,20230606,2
0000000092022091220230623,20230607,2
0000000092022091220230623,20230608,2
0000000092022091220230623,20230609,2
0000000092022091220230623,20230612,1
0000000092022091220230623,20230613,1
0000000092022091220230623,20230614,1
0000000092022091220230623,20230615,1
0000000092022091220230623,20230616,1
0000000092022091220230623,20230617,1
0000000092022091220230623,20230619,1
0000000092022091220230623,20230620,1
0000000092022091220230623,20230621,1
0000000092022091220230623,20230622,1
0000000092022091220230623,20230623,1
0000000092022091320230623,20220923,2
0000000092022091320230623,20220924,2
0000000092022091320230623,20220926,2
0000000092022091320230623,20220927,2
0000000092022091320230623,20220928,2
0000000092022091320230623,20220929,2
0000000092022091320230623,20220930,2
0000000092022091320230623,20221001,2
0000000092022091320230623,20221003,2
0000000092022091320230623,20221004,2
0000000092022091320230623,20221005,2
0000000092022091320230623,20221006,2
0000000092022091320230623,20221007,2
0000000092022091320230623,20221008,2
0000000092022091320230623,20221010,2
0000000092022091320230623,20221011,2
0000000092022091320230623,20221012,2
0000000092022091320230623,20221013,2
