stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
2508,32681z,Toldi,,45.897970,11.061611,10101,
2509,32561x,Costa,,45.884401,11.072916,10101,
2510,32641z,Sp.2 Bivio Per Cisterna,,45.881281,11.075364,10101,2
2511,33041o,Isera P.Zza S.Vincenzo-O.,,45.885459,11.009155,13041,2
2514,34101x,Ss.240 Ponte Sull'adige,,45.863191,10.997287,14051,2
2515,34101z,Ss.240 Ponte Sull'adige,,45.863235,10.997353,14051,2
2520,21753x,Verdi Inama,,46.066496,11.117755,10110,1
2521,23225-,Gazzadina Le Case Nòve,,46.134118,11.128304,10110,1
2522,23220z,Gazzadina Del Porfido,,46.130582,11.126159,10110,1
2524,25270c,Cimirlo,,46.067614,11.184697,10110,
2525,25260x,Eremo,,46.068317,11.178752,10110,
2526,25265-,Celva,,46.070702,11.176480,10110,
2527,25255x,Via Eremo,,46.067997,11.175561,10110,
2528,25215x,Maso di Brenz,,46.065720,11.172229,10110,
2529,25210x,Borino Civ.69,,46.066126,11.168742,10110,2
2530,25205z,Borino,,46.066995,11.165581,10110,2
2532,25210z,Borino Civ.69,,46.066010,11.168859,10110,2
2533,25215z,Maso di Brenz,,46.065674,11.172377,10110,
2534,25255z,Via Eremo,,46.067909,11.175714,10110,
2535,25260z,Eremo,,46.068203,11.178585,10110,
2537,21754z,Verona "Big Center",,46.045763,11.130817,10110,1
2538,21754x,Verona "Big Center",,46.045691,11.131058,10110,1
2540,32341o,Viale Caproni "Luxottica",,45.864859,11.017763,10101,2
2542,32291x,Via di Vittorio,,45.863141,11.020958,10101,
2543,38071x,Villa Lagarina V. Zandonai,,45.912479,11.031902,18041,2
2549,25020c,Povo "Polo Sociale" Cap.,,46.065613,11.158006,10110,1
2551,34046z,Mori Via Del Garda,,45.851921,10.972035,14051,2
2660,33086x,Patone Gera,,45.897941,11.002045,13041,2
2662,33086z,Patone Gera,,45.898068,11.002122,13041,2
2663,22022z,Gardolo 4 Nov. 2 Giugno,,46.101254,11.112952,10110,1
2664,22635x,Spini Loghét,,46.120500,11.091082,10110,1
2665,22635z,Spini Loghét,,46.120567,11.091216,10110,1
